Maker,Year,Avg_Pass_Percentage,Total_Tests
ALFA ROMEO,2001,0.26720647773279355,247
ALFA ROMEO,2002,0.2744479495268139,317
ALFA ROMEO,2003,0.311614730878187,353
ALFA ROMEO,2004,0.2752941176470588,425
ALFA ROMEO,2005,0.31266846361185985,371
ALFA ROMEO,2006,0.4045307443365696,309
ALFA ROMEO,2007,0.4583333333333333,216
ALFA ROMEO,2008,0.556923076923077,325
ALFA ROMEO,2009,0.5217391304347826,46
ALFA ROMEO,2010,0.6415094339622641,159
ALFA ROMEO,2011,0.7108433734939759,83
ALFA ROMEO,2012,0.8571428571428571,133
ALFA ROMEO,2013,1.0,2
ARDAGH,2005,0.0,12
ASTON MARTIN,2002,0.6666666666666666,3
ASTON MARTIN,2003,1.0,1
ASTON MARTIN,2004,1.0,2
ASTON MARTIN,2005,0.5294117647058824,17
ASTON MARTIN,2006,0.5384615384615384,13
ASTON MARTIN,2007,0.75,4
ASTON MARTIN,2008,0.4,5
ASTON MARTIN,2010,1.0,4
ASTON MARTIN,2012,1.0,1
AUDI,2001,0.26764365599691475,2593
AUDI,2002,0.2762813318368874,5346
AUDI,2003,0.3417094017094017,5850
AUDI,2004,0.4022573363431151,6645
AUDI,2005,0.41947261663286006,7395
AUDI,2006,0.4552863934797374,4417
AUDI,2007,0.5391003460207613,2890
AUDI,2008,0.5631860776439089,7470
AUDI,2009,0.625,1696
AUDI,2010,0.6889820938861106,6199
AUDI,2011,0.7246537396121884,1805
AUDI,2012,0.752502872148367,6093
AUDI,2013,0.7944890929965557,871
AUDI,2016,0.5,2
AUDI,2014,0.7857142857142857,14
AUDI,2015,0.6,5
AUDI,2016,0.5,2
AUSTIN,2001,0.0,9
AUSTIN,2002,0.0,1
BADSWORTH,2001,0.5,2
BEAUFORD,2002,0.5,2
BEAUFORD,2003,0.0,1
BEAUFORD,2004,0.25,4
BEAUFORD,2005,0.5,2
BEAUFORD,2007,1.0,2
BEAUFORD,2009,0.0,3
BENTLEY,2001,0.0,1
BENTLEY,2002,0.75,4
BENTLEY,2003,0.5,2
BENTLEY,2004,0.5714285714285714,14
BENTLEY,2005,0.43478260869565216,23
BENTLEY,2006,0.3333333333333333,6
BENTLEY,2007,0.4444444444444444,9
BENTLEY,2008,0.6,5
BENTLEY,2009,0.25,4
BENTLEY,2010,0.5,4
BENTLEY,2011,0.0,1
BENTLEY,2012,0.8571428571428571,7
BINZ,2012,1.0,7
BMW,2001,0.3016646366220057,2463
BMW,2002,0.30642201834862387,3270
BMW,2003,0.3330928330928331,4158
BMW,2004,0.349227446419671,6019
BMW,2005,0.41252072968490877,7236
BMW,2006,0.47210226291242013,5789
BMW,2007,0.5708890180127832,3442
BMW,2008,0.6008046976946498,9196
BMW,2009,0.6247689463955638,1082
BMW,2010,0.6978627671541058,4445
BMW,2011,0.7368143459915611,1896
BMW,2012,0.8133361204013378,4784
BMW,2013,0.8495821727019499,718
BMW,2016,0.0,1
BMW,2014,1.0,10
BMW,2015,0.875,8
BMW,2016,0.0,1
BRAMWITH,2004,0.0,1
BRENCHLEY,2010,0.0,1
CADILLAC,2004,1.0,1
CADILLAC,2005,0.3333333333333333,3
CADILLAC,2006,0.3333333333333333,6
CADILLAC,2007,1.0,3
CATERHAM,2003,0.0,1
CATERHAM,2010,0.0,1
CHEVROLET,2002,0.0,2
CHEVROLET,2003,1.0,1
CHEVROLET,2004,0.4,5
CHEVROLET,2005,0.31695331695331697,1628
CHEVROLET,2006,0.3142639206712433,1311
CHEVROLET,2007,0.4218077474892396,697
CHEVROLET,2008,0.42717391304347824,920
CHEVROLET,2009,0.4117647058823529,85
CHEVROLET,2010,0.5864022662889519,353
CHEVROLET,2011,0.753968253968254,126
CHEVROLET,2012,0.8048780487804879,41
CHEVROLET,2013,1.0,1
CHEVROLET,2014,1.0,1
CHRYSLER,2001,0.2833333333333333,60
CHRYSLER,2002,0.25882352941176473,85
CHRYSLER,2003,0.2920353982300885,113
CHRYSLER,2004,0.3632286995515695,223
CHRYSLER,2005,0.2851851851851852,270
CHRYSLER,2006,0.31868131868131866,364
CHRYSLER,2007,0.3316582914572864,199
CHRYSLER,2008,0.32941176470588235,170
