,ALFA ROMEO,ARDAGH,ASQUITH,ASTON MARTIN,AUDI,AUSTIN,AUSTIN ROVER,BADSWORTH,BEAUFORD,BENTLEY,BINZ,BMW,BRAMWITH,BRENCHLEY,BRISTOL,C I,CADILLAC,CARBODIES,CATERHAM,CHEVROLET,CHRYSLER,CHRYSLER JEEP,CITROEN,DACIA,DAEWOO,DAIHATSU,DAIMLER,DATSUN,DE LOREAN,DENNIS,DODGE,DUFFY,FAIRWAY,FERRARI,FIAT,FORD,FSO,GMC,GOWRINGS,HOLDEN,HONDA,HUMMER,HYUNDAI,IMPERIAL,INFINITI,INTERNATIONAL,ISUZU,IVECO,JAGUAR,JEEP,KIA,LADA,LAMBORGHINI,LANCIA,LANDROVER,LDV,LEXUS,LEYLAND,LINCOLN,LOTUS,LTI,MAKE UNSPECIFIED,MASERATI,MAZDA,MERCEDES BENZ,MERCEDES/COMPASS,METROCAB,MG,MICRO-VETT,MINI,MITSUBISHI,MITSUOKA,MORGAN,MORRIS,NEUSON,NISSAN,OPEL,OTHER,PANTHER,PERODUA,PEUGEOT,PORSCHE,PROTON,REGENT,RELIANT,RENAULT,RILEY,ROLLS ROYCE,ROVER,SAAB,SEAT,SHELSLEY,SKODA,SMART,SSANGYONG,STANDARD MOTOR COMPANY,SUBARU,SUZUKI,TALBOT,TATA,TESLA,TIGER,TOYOTA,TRABANT,TRIUMPH,TVR,VAUXHALL,VINTAGE MOTOR COMPANY,VOLKSWAGEN,VOLVO,WESTFIELD,YUGO
SafetyEquipment,3.9649122807017543,0.0,0.0,0.26666666666666666,17.175879396984925,2.075,0.25,0.0,0.4,0.3684210526315789,0.0,11.057943925233644,0.0,0.3333333333333333,1.0,0.0,0.0,0.5,0.0,9.216216216216216,3.3297872340425534,0.5,12.258964143426295,0.5625,15.35897435897436,3.6666666666666665,0.2608695652173913,0.0,0.3333333333333333,0.0,2.3,0.0,1.3333333333333333,0.2222222222222222,14.184738955823294,41.21105527638191,0.5,0.0,0.0,0.375,14.476014760147601,1.0,21.316279069767443,2.0,1.0,0.0,1.0416666666666667,0.5,5.5978260869565215,4.142857142857143,11.887323943661972,0.0,0.0,0.3157894736842105,6.309859154929577,0.0,5.990990990990991,0.65,1.0,0.7142857142857143,0.0,2.4324324324324325,1.5384615384615385,10.699604743083004,8.464454976303317,0.0,0.0,3.4615384615384617,0.0,13.92156862745098,10.10344827586207,0.2,0.35714285714285715,1.0,1.0,27.85148514851485,40.73504273504273,0.5,0.0,0.07142857142857142,30.27705627705628,1.088235294117647,0.1,0.6666666666666666,0.5,33.45070422535211,0.0,0.3333333333333333,3.7484662576687118,13.525423728813559,22.25735294117647,1.0,42.05555555555556,2.0,8.11111111111111,0.0,4.168141592920354,10.589285714285714,1.0,0.75,0.0,0.0,38.77818853974122,0.0,0.0,0.2,12.12707182320442,0.0,42.421505376344086,6.282945736434108,0.0,0.0
LightElectrical,6.2368421052631575,0.0,0.0,0.7333333333333333,28.560301507537687,1.75,0.25,1.0,0.6,0.7894736842105263,0.0,18.381308411214953,0.0,0.0,1.0,0.0,0.2,0.5,1.0,17.945945945945947,5.595744680851064,0.0,26.89641434262948,0.875,18.333333333333332,5.333333333333333,0.5217391304347826,0.3333333333333333,0.0,0.0,3.3,0.0,0.6666666666666666,0.14814814814814814,19.285140562248998,86.88442211055276,1.0,1.0,0.0,0.0,29.80811808118081,0.4,39.08837209302325,1.0,0.0,0.0,0.875,1.0,6.532608695652174,3.7142857142857144,22.274647887323944,0.0,0.0,0.3157894736842105,10.183098591549296,0.5,10.693693693693694,1.05,0.75,0.5238095238095238,0.0,3.4864864864864864,0.6153846153846154,23.07509881422925,16.729857819905213,0.0,1.0,7.038461538461538,0.0,35.6078431372549,16.12807881773399,0.4,0.14285714285714285,1.0,1.0,59.57178217821782,70.4017094017094,0.75,0.0,0.42857142857142855,70.42857142857143,1.9215686274509804,0.1,0.3333333333333333,1.0,62.144366197183096,0.0,0.13333333333333333,5.773006134969325,22.76271186440678,40.1764705882353,0.0,83.16666666666667,2.84375,9.333333333333334,0.0,6.867256637168142,17.25,0.0,0.0,0.0,0.0,84.69685767097967,1.0,0.2,0.0,18.337016574585636,0.0,76.06236559139785,14.170542635658915,1.0,1.0
SteeringSuspension,7.56140350877193,0.0,0.0,0.0,25.66331658291457,2.175,0.0,0.0,0.7,0.4473684210526316,0.0,20.340186915887852,0.0,0.3333333333333333,0.0,0.0,1.0,0.5,0.0,12.621621621621621,4.031914893617022,0.0,20.681274900398407,0.0,16.564102564102566,2.839080459770115,0.30434782608695654,0.3333333333333333,0.0,0.0,3.7,0.0,0.3333333333333333,0.14814814814814814,15.46987951807229,69.94974874371859,0.5,0.0,0.0,0.125,23.18450184501845,0.0,31.162790697674417,1.0,0.0,0.0,0.6666666666666666,0.0,6.391304347826087,5.714285714285714,14.049295774647888,0.0,0.0,0.15789473684210525,8.274647887323944,0.5,5.405405405405405,0.95,0.0,0.23809523809523808,0.0,2.4594594594594597,0.38461538461538464,17.48221343873518,20.599526066350712,1.0,1.0,3.076923076923077,0.0,20.431372549019606,12.551724137931034,0.2,0.21428571428571427,0.0,0.0,35.777227722772274,72.64957264957265,0.0,0.0,0.21428571428571427,60.41558441558441,0.7745098039215687,0.4,0.6666666666666666,0.5,59.71478873239437,0.0,0.36666666666666664,4.766871165644171,30.16949152542373,26.977941176470587,0.0,65.4,1.875,8.777777777777779,1.0,4.1946902654867255,12.702380952380953,0.0,0.75,1.0,0.0,28.258780036968577,0.0,0.2,0.0,24.30939226519337,0.0,63.76989247311828,12.325581395348838,0.0,0.0
BrakingEquipment,2.4035087719298245,0.0,0.0,0.13333333333333333,12.103015075376884,0.4,0.5,0.0,0.1,0.2631578947368421,0.0,13.347663551401869,0.0,0.0,0.0,0.0,0.0,0.5,0.0,7.581081081081081,2.1382978723404253,0.0,7.043824701195219,0.125,18.076923076923077,2.057471264367816,0.08695652173913043,0.0,0.0,0.0,0.75,1.0,0.3333333333333333,0.037037037037037035,7.413654618473895,37.69597989949749,0.0,0.0,0.0,0.25,10.239852398523984,0.0,24.032558139534885,0.0,0.0,0.0,0.4166666666666667,0.5,3.6630434782608696,1.0,9.0,0.0,0.0,0.2631578947368421,5.823943661971831,0.5,2.990990990990991,0.25,0.0,0.19047619047619047,0.0,1.4864864864864864,0.23076923076923078,7.41106719367589,12.585308056872037,0.0,1.0,1.0384615384615385,0.0,15.588235294117647,10.970443349753694,0.0,0.14285714285714285,0.0,0.0,20.888613861386137,42.80769230769231,0.5,0.0,0.14285714285714285,25.926406926406926,0.4117647058823529,0.3,0.3333333333333333,0.5,17.288732394366196,0.0,0.06666666666666667,3.3067484662576687,5.47457627118644,19.75735294117647,0.0,40.477777777777774,0.875,3.4814814814814814,0.0,2.415929203539823,10.44047619047619,0.0,0.25,0.0,0.0,46.52865064695009,1.0,0.0,0.0,12.276243093922652,0.0,35.096774193548384,5.317829457364341,0.0,1.0
WheelTyres,3.9473684210526314,0.0,1.0,0.13333333333333333,30.535175879396984,0.95,0.0,1.0,0.4,0.8157894736842105,0.0,15.357009345794392,0.0,0.0,0.0,0.0,0.2,0.0,0.5,11.797297297297296,2.595744680851064,0.0,17.51394422310757,0.125,14.205128205128204,3.0804597701149423,0.391304347826087,0.3333333333333333,0.0,0.0,1.45,0.0,0.3333333333333333,0.1111111111111111,14.385542168674698,63.54522613065327,0.5,0.0,1.0,0.5,17.195571955719558,0.4,24.330232558139535,0.0,0.0,0.0,0.5,0.5,5.858695652173913,1.4285714285714286,13.098591549295774,0.0,0.0,0.15789473684210525,4.690140845070423,0.0,7.54954954954955,0.35,1.0,0.2857142857142857,0.0,1.4594594594594594,0.5384615384615384,15.134387351778656,12.85308056872038,0.0,1.0,4.1923076923076925,0.0,35.8235294117647,9.842364532019705,0.4,0.07142857142857142,0.0,0.0,33.68564356435643,50.44871794871795,0.25,0.0,0.42857142857142855,41.17316017316017,0.8725490196078431,0.5,0.0,0.0,47.221830985915496,0.0,0.3333333333333333,2.9938650306748467,15.779661016949152,34.13235294117647,0.0,59.15555555555556,1.40625,6.37037037037037,0.0,3.6991150442477876,13.488095238095237,0.0,0.75,0.0,0.0,45.77449168207024,1.0,0.0,0.2,14.596685082872929,0.0,61.064516129032256,8.46124031007752,0.0,0.0
EngineNoiseExhaust,1.7543859649122806,0.0,0.0,0.0,9.103015075376884,0.525,0.25,0.0,0.0,0.21052631578947367,0.0,2.986915887850467,0.0,0.0,0.0,0.0,0.2,0.0,0.0,4.756756756756757,0.7340425531914894,0.0,6.107569721115538,0.0,6.846153846153846,2.781609195402299,0.08695652173913043,0.0,0.0,0.0,0.25,0.0,0.6666666666666666,0.037037037037037035,8.144578313253012,19.809045226130653,0.5,0.0,0.0,0.25,6.287822878228782,0.0,16.32093023255814,0.0,0.0,0.0,0.5,0.0,1.108695652173913,0.7142857142857143,4.704225352112676,0.0,0.0,0.10526315789473684,3.823943661971831,0.0,0.9009009009009009,0.3,0.0,0.047619047619047616,0.0,1.3243243243243243,0.07692307692307693,4.482213438735178,2.3127962085308056,0.0,1.0,3.1923076923076925,0.0,12.568627450980392,3.6995073891625614,0.2,0.14285714285714285,1.0,0.0,15.997524752475247,30.521367521367523,0.25,0.0,0.07142857142857142,18.70995670995671,0.4411764705882353,0.0,0.6666666666666666,0.0,23.1056338028169,0.0,0.1,2.8282208588957056,7.711864406779661,18.279411764705884,0.0,32.67777777777778,0.65625,1.962962962962963,0.0,2.47787610619469,8.886904761904763,0.0,0.0,0.0,0.0,16.402957486136785,0.0,0.0,0.0,6.933701657458563,0.0,34.17204301075269,3.616279069767442,0.0,0.0
ChassisBody,1.9473684210526316,0.0,0.0,0.06666666666666667,2.9271356783919598,2.175,0.25,0.0,0.0,0.23684210526315788,0.0,2.383177570093458,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.635135135135135,0.9042553191489362,0.0,3.5776892430278884,0.0,18.692307692307693,4.862068965517241,0.391304347826087,0.3333333333333333,0.0,0.0,0.2,0.0,0.0,0.0,9.726907630522089,36.45728643216081,0.0,0.0,0.0,0.125,7.583025830258302,0.0,9.87906976744186,0.0,0.0,0.0,0.4166666666666667,0.0,2.597826086956522,0.14285714285714285,4.408450704225352,0.0,0.0,0.15789473684210525,1.676056338028169,0.0,2.72972972972973,0.8,0.0,0.0,0.0,1.1081081081081081,0.07692307692307693,11.494071146245059,3.5995260663507107,0.0,0.0,1.2692307692307692,0.0,2.372549019607843,8.532019704433498,0.2,0.14285714285714285,0.0,0.0,37.35643564356435,15.52991452991453,0.25,1.0,0.0,8.112554112554113,0.24509803921568626,0.5,0.0,0.0,10.373239436619718,0.0,0.13333333333333333,2.208588957055215,2.7796610169491527,7.735294117647059,0.0,8.333333333333334,0.46875,1.962962962962963,0.0,1.575221238938053,7.148809523809524,1.0,1.25,0.0,0.0,18.942698706099815,0.0,0.2,0.0,3.425414364640884,0.0,14.806451612903226,1.2790697674418605,0.0,0.0
SideSlipTest,6.9298245614035086,0.0,0.0,0.0,18.94221105527638,2.225,0.0,0.0,0.4,0.47368421052631576,0.0,16.749532710280373,0.0,0.3333333333333333,0.0,0.0,1.0,0.5,0.0,10.067567567567568,3.574468085106383,0.0,13.665338645418327,0.0,13.23076923076923,2.3793103448275863,0.17391304347826086,0.0,0.0,0.0,3.6,0.0,0.3333333333333333,0.1111111111111111,9.771084337349398,52.28140703517588,0.5,0.0,0.0,0.0,17.88560885608856,0.2,23.683720930232557,1.0,0.0,0.0,0.3333333333333333,0.0,5.173913043478261,5.571428571428571,9.795774647887324,0.0,0.0,0.10526315789473684,7.225352112676056,0.5,4.63963963963964,0.95,0.0,0.3333333333333333,0.0,2.027027027027027,0.5384615384615384,12.67588932806324,18.35781990521327,1.0,0.0,2.576923076923077,1.0,18.80392156862745,9.556650246305418,0.2,0.21428571428571427,0.0,0.0,28.646039603960396,40.824786324786324,0.25,0.0,0.07142857142857142,46.294372294372295,0.6176470588235294,0.2,0.6666666666666666,0.5,49.91197183098591,0.0,0.3333333333333333,3.9447852760736195,21.1864406779661,21.198529411764707,0.0,53.75555555555555,1.40625,7.37037037037037,0.0,2.3008849557522124,10.05952380952381,0.0,0.75,1.0,0.0,13.870609981515711,1.0,0.0,0.0,13.530386740331492,0.0,52.06881720430108,9.864341085271318,0.0,0.0
Suspension,1.1140350877192982,0.0,0.0,0.2,7.577889447236181,0.4,0.0,0.0,0.1,0.3684210526315789,0.0,6.437383177570093,1.0,0.0,0.0,0.0,0.2,0.0,0.0,3.7432432432432434,0.5319148936170213,0.0,5.195219123505976,0.0,3.0,0.6781609195402298,0.08695652173913043,0.0,0.0,0.0,0.65,0.0,0.0,0.0,6.578313253012048,24.545226130653266,0.5,0.0,0.0,0.125,4.424354243542435,0.0,8.455813953488372,0.0,0.0,0.0,0.5,0.0,2.380434782608696,1.5714285714285714,3.007042253521127,0.0,0.0,0.05263157894736842,1.823943661971831,0.0,3.09009009009009,0.25,0.5,0.047619047619047616,0.0,0.7567567567567568,0.3076923076923077,6.988142292490118,8.37914691943128,0.0,0.0,0.38461538461538464,0.0,2.176470588235294,2.374384236453202,0.0,0.07142857142857142,0.0,0.0,8.311881188118813,33.91880341880342,0.0,0.0,0.0,12.116883116883116,0.3333333333333333,0.1,0.3333333333333333,0.5,18.612676056338028,0.0,0.23333333333333334,0.8711656441717791,10.305084745762711,8.838235294117647,0.0,22.91111111111111,0.90625,1.8148148148148149,1.0,2.017699115044248,3.863095238095238,0.0,0.0,1.0,0.0,19.475046210720887,0.0,0.0,0.0,14.602209944751381,0.0,21.84731182795699,4.426356589147287,0.0,0.0
Light,3.543859649122807,0.0,0.0,0.06666666666666667,14.251256281407036,0.95,0.0,0.0,0.3,0.15789473684210525,0.0,7.035514018691589,1.0,0.0,0.0,0.0,0.0,0.0,0.5,5.256756756756757,1.6063829787234043,0.0,8.97609561752988,0.5,5.076923076923077,0.9540229885057471,0.13043478260869565,0.3333333333333333,0.0,0.0,0.75,0.0,0.3333333333333333,0.14814814814814814,8.196787148594378,34.19597989949749,1.0,0.0,1.0,0.0,10.014760147601477,0.2,9.953488372093023,2.0,0.0,0.0,0.20833333333333334,0.0,2.141304347826087,1.4285714285714286,7.943661971830986,0.0,0.0,0.10526315789473684,2.5422535211267605,0.5,3.3603603603603602,0.25,0.25,0.14285714285714285,0.0,1.054054054054054,0.38461538461538464,4.0395256916996045,6.443127962085308,0.0,0.0,1.8846153846153846,0.0,14.333333333333334,5.6600985221674875,0.0,0.0,0.0,0.0,23.047029702970296,29.405982905982906,0.5,1.0,0.14285714285714285,24.2987012987013,0.7941176470588235,0.2,0.3333333333333333,0.5,18.468309859154928,0.0,0.16666666666666666,1.8650306748466257,5.966101694915254,12.132352941176471,0.0,26.22222222222222,1.5625,2.3703703703703702,0.0,2.3893805309734515,3.6904761904761907,0.0,0.0,0.0,0.0,23.30129390018484,1.0,0.0,0.0,8.701657458563536,0.0,27.22795698924731,4.705426356589148,0.0,0.0
